wavelength,bc01,bc02,bc03,bc04,bc05,bc06,bc07,bc08,bc09,bc10,bc11,bc12,ec01,ec02,ec03,ec04,ec05,ec06,ec07,ec08,lm01,lm02,lm03,lm04,lm05,pa01,pa02,pa03,pa04,pa05,pa06,se01,se02,se03,se04,se05,sa01,sa02,sa03,sa04,sa05,sa06,sa07,sa08,sa09,sa10,sa11
395.4941,0,0.622353,0.064527996,-1.09465,-1.49281,-0.97976,-0.24007,0.060945,0.247423,2.628512,0.637664,0.192628,-0.84966,0.786579,-0.12975,-0.64256,-0.59765,-1.05627,3.554267,0.188377,-3.50479,0.17779,0.519307,-0.77618,-0.06152,-0.25026,-1.1983,-0.12448,-0.39747,-0.32248,-1.64177,0.128596,0.328784,1.344575,2.090057,-1.5475,0.141226,-0.92227,-0.37589,-0.30368,-1.18012,0.933263,1.115037,0.186163,-0.76511,-0.91112,-0.85167
395.8915,1.56006,-2.11599,0.645278962,-2.55417,-0.5598,-0.06123,0.600163,-0.79228,0.123709,0.292028,1.78543,-0.19263,0.84966,-1.11431,0.648743,-1.98608,0.17929,0.24853,1.881335,-1.31862,4.778309,-0.53337,-0.25965,0.776173,1.107426,-0.06257,1.654795,0.37344,0.066244,0.515967,0.117268,1.157322,-0.13151,-1.21652,-0.80905,-1.19038,-0.49429,0.368908,-0.43854,-0.36441,0.413041,-0.93326,-0.0656,-1.11697,-0.63748,-0.60741,-0.365
396.2889,0.715025,0.062234,-1.03244983,-0.91221,2.923387,0.489875,0.540146,0.182837,-0.74227,-0.40884,0.191293,0.577884,2.352898,0.721023,-0.71362,0.11683,0.657402,-0.1864,-0.55756,0.062791,6.435558,-0.4741,-0.25965,0.323411,-0.12305,1.376439,-1.94011,1.431539,0.463717,-0.19349,-0.23454,0.964434,-0.4603,0.25611,-1.41585,0.238074,2.118387,-1.10673,0.187944,-1.27544,0.413041,-1.3999,-1.24621,0.682596,-1.59404,1.397044,-0.30417
396.6863,-0.52006,2.178335,-2.064991136,0.851433,3.047967,-1.53094,-1.2004,0.853271,1.360885,-5.7415,-0.12753,-0.19264,-0.45753,1.63878,-1.42732,1.343595,0.717218,-2.73399,-13.4238,-1.1931,1.72563,-1.778,2.077325,-0.77622,0.184587,-0.8134,1.312503,1.92957,1.126222,-1.3545,0.645014,-0.0643,-1.05216,0.640305,0.471977,0.833313,-0.49432,1.106783,3.007268,1.579194,0.767116,-0.58332,-0.45915,1.737603,-7.22779,0.850412,-1.21673
397.0836,0.130014,1.867163,-1.419710603,3.709871,2.985793,0.00000283,1.260425,-3.04742,2.226921,4.453517,-0.95654,-0.32106,0.065363,1.507702,0.908299,1.518857,1.793046,0.124277,-3.35678,0.75354,0.191804,-0.17781,1.03867,1.293722,-0.86139,-0.50056,-0.97012,2.614285,0.927487,-0.387,-0.29319,0.192902,-0.52608,0.384181,0.471977,-1.54761,0.776791,0.799366,1.691599,0.12147,1.416233,0.349998,-0.78712,0.372347,9.661653,0.060745,0.365026
397.4808,-2.08018,1.120305,1.03251478,1.520432,2.985763,-1.34723,-1.20039,2.011285,0.123719,0.878834,-1.91309,3.14644,1.241889,0.26221,0.778547,1.051515,-0.23907,-0.55923,-1.81829,0.565159,12.46444,-0.889,0.259666,1.358381,-1.72278,-3.12848,0.91305,1.182648,-1.19247,-2.25751,0.996838,-0.06429,-0.06576,1.344651,-0.06742,1.190444,-1.62419,-0.79935,1.691591,1.882897,1.711259,0.174998,-0.9839,2.296143,-1.21576,-2.06533,-0.30419
397.878,0,0.871343,-2.000490648,0.851444,-3.59E-07,0.551145,1.740574,2.011299,0.866028,-0.87908,0.573928,1.09162,1.241891,0.524415,-0.71366,1.752525,0.717216,1.242741,-7.62269,0.313976,-4.28287,1.007532,-2.20716,1.875881,-1.78433,-1.56423,-0.51359,2.676536,-1.92122,0.967499,-0.82094,0.514395,-2.56465,3.265596,0.269699,0.773798,-1.55359,-1.35275,2.756679,-0.06074,2.360391,-0.29166,3.148504,2.296123,-14.5234,-0.78969,-1.21675
398.2752,1.040112,-1.36926,-0.9034528,-2.06781,-0.99527,-1.95965,-1.86063,-0.67043,1.360911,-6.38674,0.255077,-1.8622,-0.19609,-0.98328,0.648786,-0.52577,-2.21143,-2.85832,-6.92288,-0.56516,-1.15072,0.177801,0.519336,-0.32343,-0.73833,-2.75306,-0.74184,2.61429,1.722489,1.548002,2.052344,-0.5144,-1.51248,0.896435,0.269701,0.833329,-1.05927,-0.86083,2.694024,1.518489,-2.12435,1.924987,0.72154,0.310292,-2.68696,-2.61206,0.365023
398.6723,1.235136,-1.92942,2.968461543,-1.58127,-0.93306,-0.55115,-0.42014,2.4989,0.0000106,3.80936,0.892783,-1.22005,0.784355,-2.35988,3.633199,-1.98621,-0.11954,-0.43496,-16.4353,-1.69548,2.748759,-0.5334,-1.1036,1.293709,0.676808,1.939672,-1.08426,-0.6847,1.987484,-1.03201,-0.9382,0.643008,-0.8549,-0.32016,-0.80911,-2.619,1.836072,0.491914,1.127733,1.882911,-3.06851,-0.29166,0.262373,-0.62058,-5.69501,1.822362,-1.21675
399.0693,-0.19502,0.684622,1.032499457,0.304085,-1.99048,-0.4899,1.860604,-0.60948,-0.12371,-3.74994,-1.46669,-0.32106,0.915062,1.114375,1.881453,0.525755,-1.67347,-0.31068,-0.00013,0.502359,-7.35022,0.592663,2.14E-07,-0.84091,1.292085,1.501662,0.342394,0.00000539,1.457466,0.129006,-2.11096,-0.32148,0.591841,1.856895,0.471981,-2.02375,2.400986,1.229778,-0.31325,0.121476,-0.53108,-0.75829,-0.26237,0.186171,-9.27566,1.154151,0.790878
